symbol,date,open,high,low,close,volume
GOLDBEES,2026-05-07,124.47,125.19,124.1,124.47,23956362.0
GOLDBEES,2026-05-08,124.55,124.72,124.0,124.31,23188221.0
GOLDBEES,2026-05-11,124.17,124.17,123.03,123.23,28730298.0
GOLDBEES,2026-05-12,125.5,125.5,124.46,124.61,43573001.0
GOLDBEES,2026-05-13,131.1,134.4,129.43,131.74,103923323.0
GOLDBEES,2026-05-14,131.65,132.79,130.6,131.78,50086666.0
GOLDBEES,2026-05-15,135.07,135.07,128.92,129.41,42784279.0
GOLDBEES,2026-05-18,129.41,129.9,128.03,129.7,30877573.0
GOLDBEES,2026-05-19,130.68,130.9,130.02,130.64,30767769.0
GOLDBEES,2026-05-20,129.88,130.44,129.02,130.2,28146890.0
GOLDBEES,2026-05-21,132.8,132.8,130.25,130.74,18076252.0
GOLDBEES,2026-05-22,130.73,130.9,130.22,130.5,13684372.0
GOLDBEES,2026-05-25,130.5,131.29,130.02,130.51,19993051.0
GOLDBEES,2026-05-26,130.14,130.15,129.21,129.58,15190494.0
GOLDETF,2025-05-21,93.64,93.67,92.79,93.08,279851.0
GOLDETF,2025-05-22,93.55,93.96,93.43,93.72,253345.0
GOLDETF,2025-05-23,93.71,94.0,93.12,93.71,203872.0
GOLDETF,2025-05-26,93.99,94.39,93.31,93.71,173980.0
GOLDETF,2025-05-27,94.39,94.39,93.23,93.43,150609.0
GOLDETF,2025-05-28,93.81,93.95,93.15,93.74,166585.0
GOLDETF,2025-05-29,93.38,93.39,92.67,93.0,153157.0
GOLDETF,2025-05-30,93.49,93.5,92.61,93.39,334921.0
GOLDETF,2025-06-02,93.85,94.54,93.39,94.36,319474.0
GOLDETF,2025-06-03,95.49,95.55,94.51,95.02,435444.0
GOLDETF,2025-06-04,95.8,95.8,94.93,95.22,1247843.0
GOLDETF,2025-06-05,95.32,96.0,95.22,95.77,776742.0
GOLDETF,2025-06-06,95.99,95.99,95.01,95.44,343529.0
GOLDETF,2025-06-09,94.89,94.89,94.0,94.49,564327.0
GOLDETF,2025-06-10,94.4,94.64,93.93,94.58,389812.0
GOLDETF,2025-06-11,95.29,95.29,94.51,94.75,158319.0
GOLDETF,2025-06-12,95.15,95.75,94.76,95.19,298932.0
GOLDETF,2025-06-13,96.22,98.11,96.21,97.35,597171.0
GOLDETF,2025-06-16,98.39,98.63,97.12,97.38,481133.0
GOLDETF,2025-06-17,96.99,97.4,96.33,96.85,323626.0
GOLDETF,2025-06-18,99.27,99.27,96.56,97.28,887694.0
GOLDETF,2025-06-19,97.28,97.89,96.4,97.15,378289.0
GOLDETF,2025-06-20,97.16,99.59,96.29,97.11,286242.0
GOLDETF,2025-06-23,99.53,99.53,96.63,97.05,428171.0
GOLDETF,2025-06-24,96.99,96.99,95.05,95.29,527050.0
GOLDETF,2025-06-25,97.67,97.67,94.55,95.13,330395.0
GOLDETF,2025-06-26,95.89,95.89,94.86,95.26,219578.0
GOLDETF,2025-06-27,95.26,95.26,93.31,93.73,778708.0
GOLDETF,2025-06-30,94.4,94.44,93.3,93.99,577430.0
GOLDETF,2025-07-01,94.46,95.19,94.34,95.12,282126.0
GOLDETF,2025-07-02,95.13,95.44,94.89,95.14,205434.0
GOLDETF,2025-07-03,95.59,95.61,94.85,95.07,193541.0
GOLDETF,2025-07-04,95.4,96.87,94.79,95.23,513357.0
GOLDETF,2025-07-07,95.37,95.38,94.11,94.7,250103.0
GOLDETF,2025-07-08,94.81,95.49,94.75,94.85,163816.0
GOLDETF,2025-07-09,94.49,94.49,94.0,94.08,284555.0
GOLDETF,2025-07-10,94.42,94.99,94.4,94.82,191313.0
GOLDETF,2025-07-11,95.69,95.69,95.01,95.27,231891.0
GOLDETF,2025-07-14,94.55,96.4,94.55,96.22,393848.0
GOLDETF,2025-07-15,95.61,96.02,95.61,95.93,160104.0
GOLDETF,2025-07-16,95.64,95.64,95.22,95.59,214275.0
GOLDETF,2025-07-17,95.59,95.79,95.15,95.33,177330.0
GOLDETF,2025-07-18,95.58,96.07,95.11,96.02,507247.0
GOLDETF,2025-07-21,95.72,96.5,95.72,96.38,304361.0
GOLDETF,2025-07-22,96.87,97.33,96.81,97.1,288282.0
GOLDETF,2025-07-23,97.65,98.99,97.56,98.25,758848.0
GOLDETF,2025-07-24,96.98,97.25,96.54,96.82,377699.0
GOLDETF,2025-07-25,96.4,97.19,96.03,96.42,232233.0
GOLDETF,2025-07-28,96.4,96.8,95.62,96.24,451524.0
GOLDETF,2025-07-29,95.99,96.48,95.61,96.25,285019.0
GOLDETF,2025-07-30,96.68,97.0,96.32,96.95,181613.0
GOLDETF,2025-07-31,95.81,96.7,95.81,96.54,233978.0
GOLDETF,2025-08-01,96.49,96.49,95.81,96.08,415235.0
GOLDETF,2025-08-04,97.79,97.88,97.02,97.63,482310.0
GOLDETF,2025-08-05,98.58,98.58,98.0,98.16,442835.0
GOLDETF,2025-08-06,98.17,98.58,97.83,98.04,577906.0
GOLDETF,2025-08-07,98.49,99.0,97.79,98.39,541168.0
GOLDETF,2025-08-08,98.61,99.48,98.61,98.97,1814761.0
GOLDETF,2025-08-11,98.47,99.11,97.76,97.93,588492.0
GOLDETF,2025-08-12,97.89,97.9,97.29,97.45,463231.0
GOLDETF,2025-08-13,97.32,97.88,97.31,97.82,784441.0
GOLDETF,2025-08-14,97.2,97.8,97.2,97.71,790652.0
GOLDETF,2025-08-18,97.68,97.69,97.22,97.42,731171.0
GOLDETF,2025-08-19,97.04,97.38,96.55,96.58,926061.0
GOLDETF,2025-08-20,96.39,96.53,96.03,96.3,325789.0
GOLDETF,2025-08-21,96.99,97.05,96.52,97.0,153063.0
GOLDETF,2025-08-22,97.38,97.38,96.8,97.03,892926.0
GOLDETF,2025-08-25,97.62,98.19,97.62,98.0,330814.0
GOLDETF,2025-08-26,98.66,98.66,98.03,98.36,311949.0
GOLDETF,2025-08-28,98.72,99.34,98.52,99.05,460790.0
GOLDETF,2025-08-29,99.68,100.09,99.22,100.03,512347.0
GOLDETF,2025-09-01,102.53,102.55,101.51,101.79,666412.0
GOLDETF,2025-09-02,101.81,102.79,101.51,101.94,689745.0
GOLDETF,2025-09-03,103.06,103.39,102.48,103.25,774700.0
GOLDETF,2025-09-04,103.39,103.7,102.76,103.46,833682.0
GOLDETF,2025-09-05,103.99,104.57,103.71,103.86,699576.0
GOLDETF,2025-09-08,104.8,105.65,104.32,105.56,800121.0
GOLDETF,2025-09-09,106.8,107.49,106.01,106.97,1746855.0
GOLDETF,2025-09-10,107.39,107.39,106.38,106.79,1243729.0
GOLDETF,2025-09-11,106.99,106.99,106.03,106.41,832981.0
GOLDETF,2025-09-12,107.49,107.79,106.72,107.03,1178614.0
GOLDETF,2025-09-15,107.49,107.49,106.52,106.72,1281866.0
GOLDETF,2025-09-16,108.39,108.39,107.43,108.17,1108699.0
GOLDETF,2025-09-17,107.89,108.39,107.0,107.22,1419211.0
GOLDETF,2025-09-18,107.48,107.78,106.34,107.47,2275982.0
GOLDETF,2025-09-19,107.48,107.49,107.0,107.19,805335.0
GOLDETF,2025-09-22,108.74,109.25,107.76,109.19,1261690.0
GOLDETF,2025-09-23,110.48,111.92,109.63,111.37,1450360.0
GOLDETF,2025-09-24,111.79,111.79,110.82,111.2,1799438.0
GOLDETF,2025-09-25,110.89,111.29,109.98,110.97,1399423.0
GOLDETF,2025-09-26,110.99,111.0,110.08,110.6,1311941.0
GOLDETF,2025-09-29,111.1,113.19,111.1,112.74,1596651.0
GOLDETF,2025-09-30,114.67,114.99,112.07,112.71,2761064.0
GOLDETF,2025-10-01,113.51,115.03,113.38,114.81,2457956.0
GOLDETF,2025-10-03,113.99,114.2,113.5,114.0,2033644.0
GOLDETF,2025-10-06,115.1,116.39,115.1,116.24,3539204.0
GOLDETF,2025-10-07,117.5,117.5,116.26,116.93,1993477.0
GOLDETF,2025-10-08,117.51,119.4,117.51,119.09,3703876.0
GOLDETF,2025-10-09,119.08,119.89,119.04,119.46,2576968.0
GOLDETF,2025-10-10,117.99,118.55,116.5,118.22,3045120.0
GOLDETF,2025-10-13,120.89,120.89,119.12,120.31,6173649.0
GOLDETF,2025-10-14,122.67,123.91,121.13,123.23,4373594.0
GOLDETF,2025-10-15,123.96,124.89,122.7,122.98,3172884.0
GOLDETF,2025-10-16,124.19,124.48,122.28,123.49,3033825.0
GOLDETF,2025-10-17,124.52,127.99,124.52,126.5,3669285.0
GOLDETF,2025-10-20,124.99,124.99,122.4,123.71,1860690.0
GOLDETF,2025-10-21,126.4,126.89,123.82,124.42,618703.0
GOLDETF,2025-10-23,120.49,120.49,111.4,119.61,3216316.0
GOLDETF,2025-10-24,116.61,120.19,116.61,118.06,1230335.0
GOLDETF,2025-10-27,118.06,118.99,116.81,117.84,1004813.0
