SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025,10
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10
HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10
HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,10
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,10
HEG,HEG Limited,EQ,10-MAY-1995,2
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10
HERCULES,HERCULES INVESTMENTS LIMITED,EQ,19-FEB-2008,1
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10
HEUBACHIND,Heubach Colorants India Limited,EQ,14-JUN-1995,10
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2
HEXT,Hexaware Technologies Limited,EQ,19-FEB-2025,1
HFCL,HFCL Limited,EQ,09-MAR-2011,1
HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10
HGM,HandsOn Global Management (HGM) Limited,EQ,27-SEP-2006,10
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10
HIKAL,Hikal Limited,EQ,14-FEB-2001,2
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025,5
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,5
HINDCON,Hindcon Chemicals Limited,EQ,05-JUL-2021,2
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2
HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2
HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017,10
HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,1
HITECHCORP,Hitech Corporation Limited,EQ,20-DEC-2007,10
HITECHGEAR,The Hi-Tech Gears Limited,BE,21-JAN-2002,10
HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023,2
HLVLTD,HLV LIMITED,EQ,19-JUL-1995,2
HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023,1
HMT,HMT Limited,BZ,29-AUG-2003,10
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,2
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10
HPAL,HP Adhesives Limited,EQ,27-DEC-2021,2
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2
HYBRIDFIN,Hybrid Financial Services Limited,BE,05-DEC-2022,5
HYUNDAI,Hyundai Motor India Limited,EQ,22-OCT-2024,10
IBULLSLTD,Indiabulls Limited,EQ,18-AUG-2011,2
ICDSLTD,ICDS Limited,EQ,17-NOV-1999,10
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2
ICRA,ICRA Limited,EQ,13-APR-2007,10
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10
IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,10
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1
IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,10
IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10
IFCI,IFCI Limited,EQ,26-APR-1995,10
IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,10
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10
IGCL,Indogulf Cropsciences Limited,EQ,03-JUL-2025,10
IGIL,International Gemmological Institute (India) Limited,EQ,20-DEC-2024,2
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2
IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,10
IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2
IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019,2
IITL,Industrial Investment Trust Limited,EQ,17-AUG-2010,10
IKIO,IKIO Technologies Limited,EQ,16-JUN-2023,10
IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024,1
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-OCT-2007,10
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-MAR-2010,10
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10
IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10
IMPEXFERRO,Impex Ferro Tech Limited,BZ,03-FEB-2005,10
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,01-JUL-2016,10
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10
INDGN,Indegene Limited,EQ,13-MAY-2024,2
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1
INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,5
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10
INDIANB,Indian Bank,EQ,01-MAR-2007,10
INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997,10
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,5
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10
INDIQUBE,Indiqube Spaces Limited,EQ,30-JUL-2025,1
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,5
INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,5
INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,1
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2
INDOFARM,Indo Farm Equipment Limited,EQ,07-JAN-2025,10
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018,10
INDOTECH,Indo Tech Transformers Limited,EQ,16-MAR-2006,10
INDOTHAI,Indo Thai Securities Limited,BE,02-NOV-2011,1
INDOUS,Indo Us Biotech Limited,EQ,27-SEP-2024,10
INDOWIND,Indowind Energy Limited,EQ,14-SEP-2007,10
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997,10
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-JUL-1997,10
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011,2
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10
INFIBEAM,Infibeam Avenues Limited,EQ,04-APR-2016,1
INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019,10
INFOMEDIA,Infomedia Press Limited,EQ,12-OCT-2006,10
INFY,Infosys Limited,EQ,08-FEB-1995,5
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999,10
INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023,10
INNOVANA,Innovana Thinklabs Limited,EQ,17-DEC-2024,10
INOXGREEN,Inox Green Energy Services Limited,EQ,23-NOV-2022,10
INOXINDIA,INOX India Limited,EQ,21-DEC-2023,2
INOXWIND,Inox Wind Limited,EQ,09-APR-2015,10
INSECTICID,Insecticides (India) Limited,EQ,30-MAY-2007,10
INSPIRISYS,Inspirisys Solutions Limited,EQ,30-OCT-2006,10
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,5
INTENTECH,Intense Technologies Limited,BE,23-MAR-2017,2
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024,10
INTLCONV,International Conveyors Limited,EQ,16-SEP-2021,1
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011,1
IOB,Indian Overseas Bank,EQ,07-DEC-2000,10
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,2
IONEXCHANG,ION Exchange (India) Limited,EQ,22-FEB-2022,1
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1
IPL,India Pesticides Limited,EQ,05-JUL-2021,1
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1
IRCON,Ircon International Limited,EQ,28-SEP-2018,2
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023,10
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10
IRIS,Iris Business Services Limited,EQ,08-NOV-2021,10
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021,2
IRMENERGY,IRM Energy Limited,EQ,26-OCT-2023,10
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010,10
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,1
ISHANCH,Ishan Dyes and Chemicals Limited,EQ,24-MAR-2025,10
ITC,ITC Limited,EQ,23-AUG-1995,1
ITCHOTELS,ITC Hotels Limited,EQ,29-JAN-2025,1
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016,10
ITI,ITI Limited,EQ,15-SEP-2003,10
IVALUE,Ivalue Infosolutions Limited,EQ,25-SEP-2025,2
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,2
IVP,IVP Limited,EQ,13-SEP-1995,10
IXIGO,Le Travenues Technology Limited,EQ,18-JUN-2024,1
IZMO,IZMO Limited,EQ,05-FEB-2007,10
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,2
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-DEC-2003,2
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997,1
JAINREC,Jain Resource Recycling Limited,EQ,01-OCT-2025,2
JAIPURKURT,Nandani Creation Limited,EQ,02-SEP-2021,10
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,1
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025,10
JASH,Jash Engineering Limited,EQ,30-OCT-2019,2
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-APR-1996,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,2
JAYKAY,Jaykay Enterprises Limited,EQ,03-DEC-2025,1
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,10
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-FEB-1995,5
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1
JBMA,JBM Auto Limited,EQ,17-DEC-2004,1
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,03-JAN-2000,10
JETFREIGHT,Jet Freight Logistics Limited,BE,21-DEC-2021,5
JGCHEM,J.G.Chemicals Limited,EQ,13-MAR-2024,10
JHS,JHS Svendgaard Laboratories Limited,EQ,21-OCT-2006,10
JINDALPHOT,Jindal Photo Limited,EQ,07-APR-2005,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002,10
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,1
JINDALSTEL,JINDAL STEEL LIMITED,EQ,29-DEC-1999,1
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,1
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,2
JITFINFRA,JITF Infralogistics Limited,BE,27-FEB-2017,2
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,5
JKIPL,Jinkushal Industries Limited,EQ,03-OCT-2025,10
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006,5
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007,2
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-MAR-2015,2
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1
JNKINDIA,JNK India Limited,EQ,30-APR-2024,2
JOCIL,Jocil Limited,EQ,08-OCT-2008,10
JPASSOCIAT,Jaiprakash Associates Limited,BE,14-JUN-2004,2
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-APR-2005,10
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2
JSLL,Jeena Sikho Lifecare Limited,EQ,11-AUG-2025,2
JSWCEMENT,JSW Cement Limited,EQ,14-AUG-2025,10
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005,10
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,2
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1
JTEKTINDIA,Jtekt India Limited,EQ,12-JAN-2004,1
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,1
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025,10
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,1
JUNIPER,Juniper Hotels Limited,EQ,28-FEB-2024,10
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,1
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-JAN-2024,2
JYOTISTRUC,Jyoti Structures Limited,EQ,19-JUL-1995,2
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,2
KALPATARU,Kalpataru Limited,EQ,01-JUL-2025,10
KALYANI,Kalyani Commercials Limited,BE,13-FEB-2017,10
KALYANIFRG,Kalyani Forge Limited,EQ,20-DEC-2007,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,1
KAMOPAINTS,Kamdhenu Ventures Limited,EQ,24-JAN-2023,1
KANANIIND,Kanani Industries Limited,EQ,14-DEC-2011,1
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,08-FEB-1995,5
KANPRPLA,Kanpur Plastipack Limited,EQ,01-JAN-2021,10
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1
KAPSTON,Kapston Services Limited,EQ,27-MAY-2020,5
KARMAENG,Karma Energy Limited,EQ,28-JUN-2011,10
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,1000
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,BE,29-JAN-2008,10
KAYA,Kaya Limited,EQ,14-AUG-2015,10
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022,10
KCP,KCP Limited,EQ,09-APR-1997,1
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997,1
KDDL,KDDL Limited,EQ,23-MAR-2016,10
KEC,KEC International Limited,EQ,10-MAR-2006,2
KECL,Kirloskar Electric Company Limited,EQ,09-MAR-2010,10
KEEPLEARN,DSJ Keep Learning Limited,EQ,01-MAR-1995,1
KEI,KEI Industries Limited,EQ,23-MAR-2006,2
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016,1
KERNEX,Kernex Microsystems (India) Limited,EQ,20-DEC-2005,10
KESORAMIND,Kesoram Industries Limited,BE,06-SEP-1995,10
KEYFINSERV,Keynote Financial Services Limited,EQ,26-JUN-1996,10
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10
KHADIM,Khadim India Limited,EQ,14-NOV-2017,10
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020,1
KHAITANLTD,Khaitan (India) Limited,EQ,20-DEC-1995,10
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,10
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011,10
KILITCH,Kilitch Drugs (India) Limited,EQ,29-SEP-2010,10
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,2
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10
KIOCL,KIOCL Limited,EQ,29-NOV-2016,10
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008,10
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010,10
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2
KITEX,Kitex Garments Limited,EQ,25-SEP-2012,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10
KMEW,Knowledge Marine & Engineering Works Limited,EQ,14-NOV-2024,10
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-MAY-2007,2
KNAGRI,KN Agri Resources Limited,EQ,09-DEC-2025,10
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999,10
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,28-JUL-2008,1
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10
KOPRAN,Kopran Limited,EQ,09-JUN-1999,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10
KOTHARIPRO,Kothari Products Limited,EQ,03-JUN-1998,10
KPEL,K.P. Energy Limited,EQ,14-NOV-2024,5
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021,5
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,2
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,1
KRBL,KRBL Limited,EQ,21-JAN-2002,1
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,03-JAN-1996,10
KRIDHANINF,Kridhan Infra Limited,EQ,11-DEC-2015,2
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019,10
KRISHIVAL,Krishival Foods Limited,EQ,20-JUN-2025,10
KRITI,Kriti Industries (India) Limited,EQ,01-NOV-2021,1
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,2
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022,1
KRN,KRN Heat Exchanger and Refrigeration Limited,EQ,03-OCT-2024,10
KRONOX,Kronox Lab Sciences Limited,EQ,10-JUN-2024,10
KROSS,Kross Limited,EQ,16-SEP-2024,5
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5
KRYSTAL,Krystal Integrated Services Limited,EQ,21-MAR-2024,10
KSB,Ksb Limited,EQ,08-FEB-1995,2
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007,2
KSHITIJPOL,Kshitij Polyline Limited,EQ,27-JUL-2022,2
KSL,Kalyani Steels Limited,EQ,19-MAY-2010,5
KSOLVES,Ksolves India Limited,EQ,23-SEP-2022,5
KSR,KSR Footwear Limited,EQ,27-NOV-2025,10
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000,10
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019,1
LAGNAM,Lagnam Spintex Limited,EQ,30-SEP-2021,10
LAKPRE,Lakshmi Precision Screws Limited,BZ,26-SEP-2006,10
LAL,Lorenzini Apparels Limited,EQ,10-APR-2023,1
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10
LAMBODHARA,Lambodhara Textiles Limited,EQ,04-FEB-2015,5
LANCORHOL,Lancor Holdings Limited,BE,12-MAR-2024,2
LANDMARK,Landmark Cars Limited,EQ,23-DEC-2022,5
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007,2
LASA,Lasa Supergenerics Limited,EQ,21-SEP-2017,10
LATENTVIEW,Latent View Analytics Limited,EQ,23-NOV-2021,1
LATTEYS,Latteys Industries Limited,BE,23-MAY-2023,2
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2
LAXMICOT,Laxmi Cotspin Limited,EQ,12-NOV-2021,10
LAXMIDENTL,Laxmi Dental Limited,EQ,20-JAN-2025,2
LAXMIINDIA,Laxmi India Finance Limited,EQ,05-AUG-2025,5
LCCINFOTEC,LCC Infotech Limited,BE,02-MAR-2000,2
LEMERITE,Le Merite Exports Limited,EQ,12-DEC-2025,10
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,10
LENSKART,Lenskart Solutions Limited,EQ,10-NOV-2025,2
LEXUS,Lexus Granito (India) Limited,EQ,13-MAR-2023,10
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,10
LGEINDIA,LG Electronics India Limited,EQ,14-OCT-2025,10
LGHL,Laxmi Goldorna House Limited,EQ,10-NOV-2023,10
LIBAS,Libas Consumer Products Limited,EQ,23-JUL-2019,10
LIBERTSHOE,Liberty Shoes Limited,EQ,27-SEP-1995,10
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-OCT-2020,5
LINC,Linc Limited,EQ,09-MAR-2015,5
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,10
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,10
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-JUL-2016,1
LLOYDSENT,Lloyds Enterprises Limited,EQ,17-OCT-2024,1
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1
LMW,LMW Limited,EQ,29-MAR-1995,10
LODHA,Lodha Developers Limited,EQ,19-APR-2021,10
LOKESHMACH,Lokesh Machines Limited,EQ,05-MAY-2006,10
LORDSCHLO,Lords Chloro Alkali Limited,EQ,28-AUG-2023,10
LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ,06-AUG-2025,1
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008,10
LOVABLE,Lovable Lingerie Limited,EQ,24-MAR-2011,10
LOYALTEX,Loyal Textile Mills Limited,EQ,11-AUG-2022,10
LPDC,Landmark Property Development Company Limited,EQ,12-AUG-2008,1
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2
LTF,L&T Finance Limited,EQ,12-AUG-2011,10
LTFOODS,LT Foods Limited,EQ,18-DEC-2006,1
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2
LUMAXIND,Lumax Industries Limited,EQ,06-SEP-1995,10
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007,2
LUPIN,Lupin Limited,EQ,10-SEP-2001,2
LUXIND,Lux Industries Limited,EQ,30-NOV-2015,2
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2
LYKALABS,Lyka Labs Limited,EQ,08-FEB-1995,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,05-NOV-2013,10
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2
MAANALU,Maan Aluminium Limited,EQ,22-OCT-2007,5
MACPOWER,Macpower CNC Machines Limited,EQ,19-AUG-2020,10
MADHAV,Madhav Marbles and Granites Limited,EQ,20-DEC-2007,10
MADHUCON,Madhucon Projects Limited,EQ,05-OCT-2006,1
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997,10
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,10
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007,10
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,10
MAHASTEEL,Mahamaya Steel Industries Limited,BE,01-JUL-2016,10
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,10
MAHESHWARI,Maheshwari Logistics Limited,EQ,15-APR-2019,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10
