SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,1
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,2
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,1
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,10
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10
BANG,Bang Overseas Limited,EQ,20-FEB-2008,10
BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2
BANKINDIA,Bank of India,EQ,30-APR-1997,10
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024,5
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5
BASF,BASF India Limited,EQ,17-MAY-1995,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,5
BBOX,Black Box Limited,EQ,22-JUL-2003,2
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10
BCG,Brightcom Group Limited,EQ,08-MAY-2015,2
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1
BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,5
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,2
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,18-JUL-2025,10
BELRISE,Belrise Industries Limited,EQ,28-MAY-2025,5
BEML,BEML Limited,EQ,05-NOV-2003,5
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1
BESTAGRO,Best Agrolife Limited,EQ,10-APR-2024,10
BETA,Beta Drugs Limited,EQ,24-NOV-2025,10
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5
BFUTILITIE,BF Utilities Limited,BZ,03-MAY-2007,5
BGLOBAL,Bharatiya Global Infomedia Limited,BZ,28-JUL-2011,10
BGRENERGY,BGR Energy Systems Limited,BE,03-JAN-2008,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,1
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5
BHAGYANGR,Bhagyanagar India Limited,BE,17-MAY-2017,2
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2
BHARATGEAR,Bharat Gears Limited,BE,03-APR-1996,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,5
BHARATSE,Bharat Seats Limited,EQ,24-MAR-2025,2
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1
BIL,Bhartiya International Limited,EQ,12-APR-2000,10
BILVYAPAR,BIL VYAPAR LIMITED,BE,27-SEP-2006,10
BIOCON,Biocon Limited,EQ,07-APR-2004,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,1
BIRLANU,BirlaNu Limited,EQ,26-APR-1995,10
BLACKBUCK,BLACKBUCK LIMITED,EQ,22-NOV-2024,1
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,10
BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1
BLS,BLS International Services Limited,EQ,14-JUN-2016,1
BLSE,BLS E-Services Limited,EQ,06-FEB-2024,10
BLUECHIP,Blue Chip India Limited,BE,12-MAR-1997,2
BLUECOAST,Blue Coast Hotels Limited,BE,16-FEB-2000,10
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10
BLUEJET,Blue Jet Healthcare Limited,EQ,01-NOV-2023,2
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,19-AUG-2025,1
BLUSPRING,Bluspring Enterprises Limited,EQ,11-JUN-2025,10
BMWVENTLTD,BMW Ventures Limited,EQ,01-OCT-2025,10
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2
BOHRAIND,Bohra Industries Limited,EQ,27-OCT-2022,10
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2
BORANA,Borana Weaves Limited,BE,27-MAY-2025,10
BOROLTD,Borosil Limited,EQ,22-JUL-2020,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1
BOROSCI,Borosil Scientific Limited,EQ,07-JUN-2024,1
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10
BPL,BPL Limited,EQ,14-JUN-1995,10
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-JUL-2025,10
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1
BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10
BROOKS,Brooks Laboratories Limited,EQ,05-SEP-2011,10
BSE,BSE Limited,EQ,03-FEB-2017,2
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,1
BSL,BSL Limited,EQ,27-JUL-1995,10
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2
BTML,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023,1
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10
BVCL,Barak Valley Cements Limited,EQ,23-NOV-2007,10
BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10
CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10
