,1MHLP,1MHLP,1MHLP,1WHLP,1WHLP,1WHLP,1YHLP,1YHLP,1YHLP,3MHLP,3MHLP,3MHLP,52WHLP,52WHLP,52WHLP,52WH_P,52WH_P,52WH_P,52WL_P,52WL_P,52WL_P,6MHLP,6MHLP,6MHLP,SIG,SIG,SIG,SMA20_2_200P,SMA20_2_200P,SMA20_2_200P,close,close,close
symbol,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-18,28.235294117647058,67.54385964912267,0.0,83.91608391608352,100.0,0.0,54.37948272114755,96.30246502331778,8.95230648944487,68.27873114924597,91.48773006134967,0.0,80.39845758354755,97.94691574956072,23.82934443288241,4.914994762710499,1.0958633626221763,8.263716414540522,26.90611893752016,112.13340391741662,2.8998353805242467,80.39845758354755,94.39393939393939,12.154989384288736,0.0,0.0,0.0,10.049791501804867,8.773250313865473,-4.623248032780179,590.05,2003.6,406.3
2025-08-19,33.764705882353,49.26900584795305,15.300546448087484,100.0,62.908011869435995,26.540284360189652,55.40099978265594,94.22051965356428,11.14151681000782,70.72282891315655,84.15886783839304,7.650273224043754,81.90874035989718,96.79089984278183,29.656607700312204,4.536298444927883,1.7129035442788056,7.63151953036802,27.411549628992365,110.80995235574377,3.6089654299100924,81.90874035989718,91.23737373737373,15.12738853503185,0.0,0.0,0.0,9.848932090375314,8.672690647919943,-4.659491580464315,592.4,1991.1,409.1
2025-08-20,32.5882352941177,45.02923976608189,0.0,96.51567944250871,54.30267062314555,0.0,55.183655727015854,93.7375083277815,8.756841282251752,70.2028081123245,76.63144810441271,0.0,81.58740359897173,96.52270415240915,23.30905306971904,4.6168721295624815,1.8560568664231372,8.320162564913065,27.304011183998277,110.50291159343568,2.8365201975433676,81.58740359897173,90.50505050505053,11.889596602972388,0.0,0.0,0.0,9.56614444159743,8.540489463208806,-4.68332752060051,591.9,1988.2,406.05
2025-08-21,25.1764705882354,49.415204678362606,0.0,74.56445993031379,63.20474777448092,0.0,53.81438817648338,94.23717521652233,8.365910867865512,66.92667706708272,76.58998646820032,0.0,79.56298200514141,96.80014797003608,22.268470343392295,5.124486342760448,1.707967222825546,8.433054865658155,26.626518980535547,110.82053996823717,2.7098898315816102,79.56298200514141,91.26262626262628,11.358811040339692,0.0,0.0,0.0,9.259763342033219,8.38193953641154,-4.698633912050702,588.75,1991.2,405.55
2025-08-22,0.0,10.52631578947344,0.0,0.0,0.0,0.0,48.77200608563355,89.80679546968686,2.6974198592650422,54.862194487779526,55.03306392358554,0.0,72.10796915167096,94.34014612041062,7.18002081165451,6.993795826283133,3.02102872939086,10.069993226461948,24.13162705667276,108.00423504499734,0.8737495251361247,72.10796915167096,84.54545454545453,3.6624203821655934,0.0,0.0,0.0,8.869515885887868,8.184799936213073,-4.738337287646441,577.15,1964.6,398.3
2025-08-25,8.87096774193554,9.795321637426655,3.9923954372623993,25.24590163934441,0.0,7.984790874524815,50.44555531406216,89.72351765489672,3.518373729476154,58.8663546541862,54.66568699485666,2.354260089686126,74.58226221079694,94.29390548413946,9.365244536940695,6.373378454596722,3.0457103366571254,9.832919394897258,24.95967308312722,107.95129698253044,1.1396732936558187,74.58226221079694,84.4191919191919,4.777070063694268,0.0,0.0,0.0,8.574155289329465,8.013782868991576,-4.765578548950794,581.0,1964.1,399.35
2025-08-26,0.0,0.0,19.20152091254756,0.0,0.0,46.759259259259316,46.88111280156486,0.0,6.645817044566068,50.33801352054081,0.0,11.322869955156985,69.31233933161953,2.672708776472762,17.689906347554647,7.6947868826041415,51.949846974034955,8.929780988936544,23.196042585224212,3.05982001058761,2.1527162213498796,69.31233933161953,0.0,9.02335456475584,0.0,0.0,0.0,8.222085990612209,5.428171997274052,-4.755656450123962,572.8,973.4,403.35
2025-08-28,0.0,0.0,9.885931558935228,0.0,0.0,24.074074074073735,42.09954357748314,0.0,4.73025801407346,38.89755590223608,0.0,5.829596412555982,62.24293059125963,1.2300009248127213,12.591050988553507,9.467407944565306,52.719913120742426,9.482953262587491,20.830196795354333,1.4081524616199,1.5322274281372557,62.24293059125963,0.0,6.422505307855579,0.0,0.0,0.0,7.783661320237671,2.7588648244836933,-4.75816902308769,561.8,957.8,400.9
2025-08-29,2.38297872340441,0.0,44.639376218323584,4.651162790697973,0.0,100.0,42.708106933275396,0.0,11.649726348709914,40.35361414456587,0.0,25.672645739910312,63.142673521850945,0.6566170350504044,31.009365244536923,9.241801627588416,53.02596505084411,7.484759539399407,21.131304441337793,0.7517204870301771,3.7735849056603716,63.142673521850945,0.0,15.817409766454329,0.0,0.0,0.0,7.280857383107607,0.05354979489856209,-4.657497917955832,563.2,951.6,409.75
2025-09-01,9.021276595744796,0.0,30.879345603272046,19.66604823747703,0.0,65.93886462882112,44.403390567268,0.0,8.600469116497266,44.4097763910557,0.0,16.928251121076272,65.64910025706945,0.5641357625080943,22.892819979188367,8.613326887438552,53.07532826537663,8.3653194852111,21.970104312291653,0.6458443620963497,2.7858680511586678,65.64910025706945,0.0,11.677282377919322,0.0,-1.0,0.0,7.036336289080075,-2.6421769525835406,-4.649595295109203,567.1,950.6,405.85
